# Comparison of SuperDARN MSTID Mongo Databases
# Generated by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# reject_code Explanations:
#  -1: Entry not present in this database.
#   0: Good Period (Not Rejected)
#   1: High Terminator Fraction (Dawn/Dusk in Observational Window
#   2: No Data
#   3: Poor Data Quality (including "Low RTI Fraction" and "Failed Quality Check")
#   4: Other (including "No RTI Fraction" and "No Terminator Fraction")
#
,sDatetime,fDatetime,radar,mstid_2016:category_manu,mstid_2016:meanSubIntSpect_by_rtiCnt,mstid_2016:reject_code,mstid_2016:collection,mstid_GSMR_fitexfilter:category_manu,mstid_GSMR_fitexfilter:meanSubIntSpect_by_rtiCnt,mstid_GSMR_fitexfilter:reject_code,mstid_GSMR_fitexfilter:collection
0,2012-11-01 12:00:00,2012-11-01 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
1,2012-11-01 14:00:00,2012-11-01 16:00:00,bks,None,,3,guc_bks_20121101_20130501,None,,3,guc_bks_20121101_20130501
2,2012-11-01 16:00:00,2012-11-01 18:00:00,bks,None,,3,guc_bks_20121101_20130501,quiet,-0.008307607195681311,0,guc_bks_20121101_20130501
3,2012-11-01 18:00:00,2012-11-01 20:00:00,bks,None,,3,guc_bks_20121101_20130501,mstid,0.004658686760320106,0,guc_bks_20121101_20130501
4,2012-11-01 20:00:00,2012-11-01 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
5,2012-11-01 22:00:00,2012-11-02 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
6,2012-11-02 12:00:00,2012-11-02 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
7,2012-11-02 14:00:00,2012-11-02 16:00:00,bks,None,,3,guc_bks_20121101_20130501,mstid,0.015255763476423807,0,guc_bks_20121101_20130501
8,2012-11-02 16:00:00,2012-11-02 18:00:00,bks,None,,3,guc_bks_20121101_20130501,quiet,-0.0030903636383878765,0,guc_bks_20121101_20130501
9,2012-11-02 18:00:00,2012-11-02 20:00:00,bks,mstid,0.0007716274206060645,0,guc_bks_20121101_20130501,mstid,0.00022056883253170593,0,guc_bks_20121101_20130501
10,2012-11-02 20:00:00,2012-11-02 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
11,2012-11-02 22:00:00,2012-11-03 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
12,2012-11-03 12:00:00,2012-11-03 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
13,2012-11-03 14:00:00,2012-11-03 16:00:00,bks,mstid,0.0018014055489800132,0,guc_bks_20121101_20130501,mstid,0.002523030572919444,0,guc_bks_20121101_20130501
14,2012-11-03 16:00:00,2012-11-03 18:00:00,bks,None,,3,guc_bks_20121101_20130501,mstid,0.005691146673075595,0,guc_bks_20121101_20130501
